Player_Name,Fours,Sixes
"Ajinkya Rahane",14,4
"Wriddhiman Saha",17,1
"K.S Bharat",10,8
"Manish Pandey",15,3
"Manish Pandey",12,6
"Quinton de Kock",10,8
"Dinesh Karthik",13,5
"Prithvi Shaw",16,1
"Kane Williamson",12,5
"Abhinav Manohar",14,3
"B. Sai Sudharsan",14,3
"Anuj Rawat",10,7
"Dinesh Karthik",13,4
"Anmolpreet Singh",15,2
"Hardik Pandya",11,5
"MS Dhoni",12,3
"David Miller",11,4
"KL Rahul",12,3
"Rahul Tripathi",13,2
"Mayank Agarwal",12,3
"Ajinkya Rahane",12,2
"Ajinkya Rahane",12,2
"David Miller",11,3
"Wriddhiman Saha",13,1
"Manish Pandey",11,3
"Prerak Mankad",12,2
"Mayank Agarwal",9,5
"MS Dhoni",3,10
"Abhinav Manohar",6,7
"Vijay Shankar",12,1
"Shahrukh Khan",4,9
"KL Rahul",8,5
"Wriddhiman Saha",7,5
"Shreyas Iyer",7,5
"Ishan Kishan",8,4
"Manish Pandey",9,2
"Suryakumar Yadav",8,3
"Harpreet Bhatia",8,3
"Shimron Hetmyer",4,7
"David Miller",6,4
"Wriddhiman Saha",6,4
"Wriddhiman Saha",9,1
"Anuj Rawat",6,4
"Riyan Parag",4,5
"Suyash S Prabhudessai",7,2
"Mayank Agarwal",6,3
"David Miller",4,4
"Nicholas Pooran",3,5
"Abhishek Sharma",3,5
"Wriddhiman Saha",3,4
"Wriddhiman Saha",2,4
"Rajat Patidar",3,3
"Heinrich Klaasen",5,1
"David Miller",3,2
"Mahipal Lomror",2,3
"Travis Head",3,2
"Vishnu Vinod",2,2
"Liam Livingstone",3,1
"Rilee Rossouw",2,2
"Yashasvi Jaiswal",2,2
"Mayank Agarwal",3,1
"Abishek Porel",1,2
"Shreyas Iyer",2,1
"Rinku Singh",1,2
"Suyash S Prabhudessai",1,2
"Anmolpreet Singh",2,1
"Kane Williamson",1,1
"Sherfane Rutherford",1,1
"Vishnu Vinod",1,1
"Prabhsimran Singh",1,1
"Prabhsimran Singh",1,1
"Rilee Rossouw",1,1
"Sanvir Singh",1,1
